"SampleID","avg_NPOC","avg_TN","SRP_uM","SRP_mgL","Q..L.s.","Date","Site","month_year","Low","Moderate","High","pct_burned","Moderate_High","Fluoride_mgL","Chloride_mgL","Sulfate_mgL","Bromide_mgL","NitrateN_mgL","time_since","biome_type","ignition_date","burn_period","mean_slope","mean_elev_m","max_elev_m","area_km2","biome_pca"
"R180",3.91,2.15066666666667,0.8797738286,0.027246595471742,26.7616456275653,"2025-02-22","refugio","02.25.2",19.29,16.247,1.053,36.59,17.3,1.915,181.219333333333,1257.18866666667,0.0716666666666667,1.6,3.22739726027397,"montane","2021-10-11","older_burn",17.5140841191976,344.432535974162,994.0947265625,20.5283679618708,"shrub_grass"
"R181",1.98066666666667,0.3204,0.424534092,0.01314782082924,374.565728023771,"2025-02-20","bear","02.25",1.323,2.696,2.09,6.109,4.786,0.2265,5.5695,5.48036666666667,0.1525,0.295,0.320547945205479,"montane","2024-09-06","24_25_burn",14.4624691878225,2157.11701609748,3033.0693359375,229.014242391368,"forest"
"R182",5.82233333333333,0.4991,0.571006113,0.01768405931961,25.9971492979452,"2025-04-19","topanga","04.25",1.053,4.912,12.383,18.348,17.295,0.790333333333333,117.577,536.371333333333,0.044,0.0503333333333333,0,"coastal","2025-01-07","24_25_burn",20.8357508266998,400.483672728162,783.474243164062,50.4848922517578,"shrub_grass"
"R183",1.284,0.208433333333333,0.5137216846,0.015909960572062,23.0885366509891,"2025-02-22","arroyohondo","02.25.2",20.816,55.765,18.812,95.393,74.577,0.535666666666667,41.0386666666667,255.007,0.012,0.0753333333333333,3.22739726027397,"montane","2021-10-11","older_burn",23.5766077423511,445.936579044491,868.788696289062,11.2857830937344,"forest"
"R184",1.182,0.1024,2.91550819,0.0902932886443,14.5407113770335,"2025-02-22","sedgwick","02.25.2",22.741,18.515,1.396,42.652,19.911,0.1482,38.3506,41.52835,0.035,0.01665,0.493150684931507,"montane","2024-07-05","24_25_burn",15.5319121585121,498.223540651967,1017.96746826172,23.5593689401327,"shrub_grass"
"R185",3.78666666666667,0.3081,0.7741713416,0.023976086449352,NA,"2025-02-20","strawberry","02.25",0.295,0.105,0.005,0.406,0.11,0.137666666666667,11.7001,5.1971,0.00275,0.288733333333333,40,"montane","2018-07-25","older_burn",24.8897059979631,2162.36964816945,3147.91235351562,16.806986760879,"forest"
"R186",2.0335,0.1735,0.3221884121,0.009978175122737,10.6055222779818,"2025-03-16","mission","03.25",28.249,42.815,9.139,80.203,51.954,0.608,40.1736666666667,237.240666666667,0.00275,0.0136666666666667,15.6712328767123,"montane","2009-05-05","older_burn",28.0878714020364,703.298697305995,1212.54736328125,7.20969917780069,"forest"
"R187",3.60466666666667,1.64566666666667,0.2831065905,0.008767811107785,35.3422002947556,"2025-03-16","refugio","03.25",19.29,16.247,1.053,36.59,17.3,0.872,99.9013333333333,647.603,0.0436666666666667,0.800333333333333,3.22739726027397,"montane","2021-10-11","older_burn",17.5140841191976,344.432535974162,994.0947265625,20.5283679618708,"shrub_grass"
"R188",3.125,1.41433333333333,0.108,0.005949155181324,178,"2025-03-15","silverado","03.25",2.599,2.31,0.137,5.046,2.447,0.52,24.8953333333333,403.409,0.00275,0.753,40,"coastal","2020-12-03","older_burn",30.6285496581298,831.970286977818,1417.09594726562,48.3264453671017,"shrub_grass"
"R189",5.29733333333333,2.95066666666667,3.756570406,0.11634098547382,10.7145297167468,"2025-03-15","ortega","03.25",22.96,69.164,7.39,99.514,76.554,0.446666666666667,88.508,193.659666666667,0.0906666666666667,3.61066666666667,0.312328767123288,"coastal","2024-09-09","24_25_burn",14.0912507239294,834.175018511156,1061.34375,4.37696086804457,"shrub_grass"
"R190",3.155,1.03766666666667,1.356518266,0.04201137069802,251.170016,"2025-03-15","santiago","03.25",3.494,7.644,12.785,23.924,20.429,0.557,24.8875,245.328,0.00275,3.2185,0.312328767123288,"coastal","2024-09-09","24_25_burn",29.6967996088972,919.707454552801,1731.11450195312,32.595851444213,"shrub_grass"
